nctid,status,why_stop,label,phase,diseases,icdcodes,drugs,smiless,criteria
NCT00000614,completed,,1,phase 3,"['cardiovascular diseases', 'heart diseases', 'peripheral vascular diseases', 'thromboembolism', 'vascular diseases', 'venous thromboembolism']","[""['A52.00', 'A52.09', 'A50.54', 'Z01.810', 'Q87.418', 'Z13.6', 'R94.30']"", ""['I11.0', 'I11.9', 'I27.1', 'I51.9', 'I09.9', 'I27.9', 'I01.8']"", ""['I73.9', 'I73.89']"", ""['O88.22', 'O88.23', 'O88.211', 'O88.212', 'O88.213', 'O88.219']"", ""['I73.9', 'D57.03', 'D57.213', 'G46.8', 'I73.89']"", ""['O88.22', 'O88.23', 'O88.211', 'O88.212', 'O88.213', 'O88.219']""]",['warfarin'],['S1SSSSSSS1'],"[0.10481201893998544, -0.021327942699563823, 0.2150531137292239, -0.01593930286731477, 0.03473264743528215, 0.02299673358725623, 0.02918699070445264, -0.0024869287546993024, -0.010281051590451198, 0.025702452211251853, -0.06767463458670143, 0.020089849098104486, -0.028899710966763685, -0.027613577538132074, -0.004673008941223386, 0.0024584667730099775, 0.03129859767908375, -0.003584083121106622, -0.018194069430505718, 0.017577636142269475, 0.019927006059753425, 0.011907604013901878, -0.025281995809976254, -0.004830108095887511, -0.042842055857556655, 0.013666844773349817, -0.002127308577823153, -0.014121580797135486, -0.012884415217053028, 0.03203390106996091, -0.0005005598153690761, -0.013343270417954555, -0.010534161544341199, 0.010556632770836221, 0.0005930483326145403, 0.002675667835176275, 0.019127672202334967, -0.02891135055762737, 0.0016593788253220075, -0.011336258880080349, 0.018963138496161287, -0.014163525634043484, -0.0038202358203374585, 0.02100408800078162, 0.027678427665020093, 0.02749438767114639, 0.0076542452724123215, -0.01842109981496953, -0.010031161145124812, -0.002547107100588092]"
NCT00002633,completed,,1,phase 3,['prostate cancer'],"[""['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']""]","['bicalutamide', 'buserelin', 'flutamide', 'goserelin', 'leuprolide acetate', 'nilutamide']","['[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O', 'CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F', 'CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O', 'CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O', 'CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F']","[0.2525331035455026, -0.04629188733884929, -0.22692371189348207, -0.0632544113112747, 0.16230985249679084, -0.018264580487394138, 0.03093823281128678, -0.08560038046794172, -0.027485699625781512, 0.010890663922310393, -0.025515653702460617, 0.03854453077481059, -0.02279098751398407, 0.00029351648587121193, 0.0123966628537826, 0.0649606655403273, 0.024230350909455294, 0.00973804559410953, -0.04270785527960472, -0.016259529700250533, -0.026171753541642223, 0.0007508275450400024, 0.008358829747459093, 0.006701291746822246, 0.09957450213742336, -0.10070494977362891, 0.18313195423219408, 0.07743158102624903, -0.06708310823387867, 0.1717914684954866, 0.022065477931790135, 0.07859702697604606, 0.04184414567715263, -0.04146834972708074, -0.0237552884604659, -0.055843205846387245, 0.01929519123249518, 0.0012365751948501646, -0.015383080701385757, 0.051598396478607644, 0.009357596789292601, 0.007601169056907944, -0.018080083495470547, -0.019807883421097933, -0.09952818040511459, 0.004476091459048223, -0.036124106378704425, 0.017990119376154044, 0.001689206636850797, -0.011060456457231572]"
NCT00003152,terminated,"
    low accrual
  ",0,phase 3,['lymphoma'],"[""['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']""]","['cyclophosphamide', 'prednisone', 'vincristine sulfate']","['ClCCN(CCCl)P1(=O)NCCCO1', '[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C', 'CC[C@]1(O)C[C@@H]2CN(C1)CCC1=C(NC3=CC=CC=C13)[C@@](C2)(C(=O)OC)C1=C(OC)C=C2N(C=O)[C@@H]3[C@]4(CCN5CC=C[C@](CC)([C@@H]45)[C@@H](OC(C)=O)[C@]3(O)C(=O)OC)C2=C1']","[0.2529691767485349, -0.11918294214126952, -0.2661945722905924, -0.0634910337923041, 0.15399856560878444, 0.019615726778176395, -0.01649114608472945, -0.20206400947353315, -0.04745298205385393, -0.07549081331305316, -0.009480870235204577, 0.026255951787090913, -0.02255650389727477, -0.08520238689613065, 0.10264111928866186, -0.07320048988115564, -0.1091931425110602, 0.08376230808660774, -0.016580305708867038, 0.14411130618961282, 0.061173986840099434, 0.008008122941306905, -0.021998015121924442, -0.007199923607712047, -0.04633876666848395, 0.05437414898071761, 0.08676364511079952, 0.03494785885706569, -0.013816030740819846, -0.013546059355412416, -0.025669281216449236, -0.00853380065693084, -0.11235247666217618, 0.0030111119655202765, 0.005837603705373634, -0.018209660926689592, 0.1230412914563956, -0.021140560305198418, -0.023625172820633256, 0.1170899518307108, -0.030878524864653735, 0.09546937094981614, -0.006027164458595191, 0.03267758908264219, 0.04719501291724924, 0.0074572893294187394, 0.007725629868082786, 0.014395882971699475, -0.012420107246620123, 0.09982961206198623]"
NCT00003276,completed,,0,phase 2,['gallbladder cancer'],"[""['C23', 'D37.6']""]",['irinotecan hydrochloride'],['CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12'],"[0.31862343751393557, -0.0863652747927949, -0.2937675757379285, -0.08719229911186814, 0.22452074651052353, -0.009473752615844476, 0.06042024381078055, -0.09579740554451055, -0.05283795681577656, 0.00166137441860571, -0.051116581631285164, 0.08292514264864781, -0.033268583679548214, -0.014441677613577975, 0.022428894205919096, 0.026968355762695535, -0.002838247880267418, -0.0060449235319631565, 0.012421358881592619, 0.05594533974933559, -0.05409635211648437, 0.030431302907103813, -0.026743463563467823, -0.029168759251783673, -0.01360720040253555, 0.02048782316520197, -0.031484658976226335, -0.034101289361941456, 0.032876154729862286, 0.007596105331537864, 0.014885075808927081, -0.00045044106573851884, -0.004995417170320787, 0.016435391289469057, 0.03610052223440119, 0.027900931884055354, 0.002328795829276117, 0.006131751529919818, -0.02379393171193997, 0.052647973348303234, -0.0443166496777886, 0.03570617131902803, -0.04256796226379223, 0.003522834519346456, -0.0015097282131977933, -0.012378842720495851, 0.014038376781451076, 0.01940488553868419, -0.0468896819207843, 0.03675935989525595]"
NCT00003298,completed,,0,phase 2,['gastric cancer'],"[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]","['cisplatin', 'fluorouracil', 'leucovorin calcium', 'paclitaxel']","['[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC', '[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1', 'NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1', '[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\\C=C(C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC']","[0.24131871669376737, -0.03879943979440319, -0.10975332476754349, -0.08281102988923672, 0.07850127895851713, 0.020137818978120618, -0.040232787443407414, -0.06441989675550516, -0.007616308221654493, -0.05340945786281357, 0.011326703353586149, 0.024266159600254578, 0.03651701673783304, -0.006810116155534653, 0.02469795357367919, 0.06510926156688263, -0.04807668612467449, 0.01730908523009441, -0.08004728332178054, -0.028214703347775594, -0.0009457569415461331, 0.004025039394418221, 0.0029773282526071353, 0.08182427474084379, 0.011668657472186053, 0.09033306694430217, 0.04795595447293051, -0.003750825242796316, -0.007449530459705765, -0.007620188798767119, 0.020730977997337384, 0.029337987853145987, -0.0362392479061788, 0.04514205277992593, 0.08365666684035655, 0.0060968836335509955, -0.02240714894880646, 0.034651238991672786, 0.020203462261673445, 0.06917648579359767, -0.03323462790282936, -0.028584917170246714, 0.03136374189535039, -0.05174183311934244, 0.059559109817357084, -0.007150307196178698, -0.016197665642597853, 0.02952374251362606, -0.010194267560565665, -0.05736294160419433]"
NCT00003487,terminated,"
    withdrawn due to slow enrollment
  ",0,phase 2,['esophageal cancer'],"[""['K22.2', 'K22.81', 'Q39.4', 'P78.83', 'I85.00', 'I85.01', 'I85.10']""]","['antineoplaston a10', 'antineoplaston as2-1']",['O=C(CC1=CC=CC=C1)N[C@H]1CCC(=O)NC1=O'],"[0.3376579122563667, -0.05201497296664952, -0.26929052830522743, -0.11498712120074916, 0.23070541328982025, -0.014056049370131066, 0.061437164867947924, -0.07261862981535788, -0.052386718222014385, -0.018200082564615035, -0.045596792662605155, 0.07311888649844582, 0.00906939986147363, -0.038993019782074305, -0.0022024793162991885, -0.01643931555366929, -0.0034167882915615263, -0.034248501074875135, 0.06477637112388898, 0.043705419110834094, -0.055492184767262066, 0.012821576378066907, -0.03292996525812133, -0.04437054382177828, -0.01150553026071801, 0.03728847666255712, -0.024071175273513212, -0.05229388673101928, -0.0020430464850794906, 0.005164914696118239, 0.01456692201604064, -0.010131911120437822, -0.014913515270218159, 0.013115750935845017, 0.07901692248729618, 0.03736107557210748, -0.004362718669508854, 0.05010902802361331, -0.006692513706172409, 0.01135810984907982, -0.04987824844475598, 0.031747431846410684, -0.03757021905475115, -0.013476980775460102, 0.05470882658526103, -0.036596505432170356, -0.015379612533598402, 0.02758017924074633, -0.04524049089773308, 0.009194376299697752]"
NCT00003567,terminated,"
    slow accrual
  ",0,phase 1,"['brain and central nervous system tumors', 'lymphoma', 'unspecified adult solid tumor, protocol specific']","[""['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']"", ""['H01.009', 'H02.209', 'H02.009', 'H02.109', 'H04.209', 'H05.409', 'H10.509']""]","['o6-benzylguanine', 'carmustine', 'temozolomide']","['N=C1NC2=C(N=CN2)C(OCC2=CC=CC=C2)=N1', 'ClCCNC(=O)N(CCCl)N=O', 'CSCC[C@H](N)C(O)=O']","[0.29540332113122064, -0.0969701538983624, -0.28491269952321796, -0.10557067541619122, 0.26466084197216444, -0.010308542447330486, 0.023252404696246474, -0.13409767567273814, -0.05597334696521341, 0.02419724915225831, -0.08275387541317339, 0.09298609906701696, -0.019964795131640616, 0.011863629986479595, 0.018088478802114876, 0.0120885111174124, -0.009670234992526597, 0.0037627425750544055, 0.03624604238465932, 0.05373686730856049, -0.025830515216711807, 0.048137621813243756, -0.08105421212205714, -0.03167896051402279, -0.004796528557464318, 0.03466013684083596, -0.03636198416334965, -0.02505868109089184, 0.03988813586097676, 0.0036629485200672432, 0.004619085766907678, 0.014905545673722622, -0.024207483668340312, 0.007463725655712156, 0.022790855738483252, 0.04239412647794337, 0.011186689020987814, -0.017499409391559896, -0.038830660673163375, 0.07777241146384006, -0.03978962198633902, 0.05557542666366797, -0.011644086427045928, 0.009759113018924707, 0.030701698857822084, -0.004758500715902411, 0.04253976205341929, 0.019731299876834342, -0.052170176933148814, 0.05978431875540047]"
NCT00003624,terminated,,0,phase 2,"['cervical cancer', 'endometrial cancer', 'fallopian tube cancer', 'neurotoxicity', 'ovarian cancer', 'primary peritoneal cavity cancer', 'sarcoma']","[""['M50.20', 'M50.21', 'M50.30', 'M50.31', 'M50.80', 'M50.81', 'M50.90']"", ""['N85.00', 'N85.01', 'N85.02', 'N99.85']"", ""['C57.00', 'C57.01', 'C57.02']"", ""['G92.00', 'G92.01', 'G92.02', 'G92.03', 'G92.04', 'G92.05']"", ""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']"", ""['C30.0', 'Z12.81', 'D14.0', 'C14.8', 'D37.09', 'Z86.003', 'Z85.818']"", ""['C96.A', 'C46.9', 'C96.22', 'C46.0', 'C46.2', 'C92.31', 'C92.32']""]","['amifostine trihydrate', 'cisplatin', 'paclitaxel']","['NCCCNCCSP(O)(O)=O', '[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC', '[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\\C=C(C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC']","[0.2597224814583872, -0.11525691190986129, -0.2829870528627298, -0.09896614244134963, 0.21638390583352893, 0.004623443695367037, 0.005411972193298505, -0.14376020284061775, -0.048363560685992436, -0.01094535692141809, -0.0596380633723787, 0.07545051519418908, -0.02751237183133708, 0.003867732858357463, 0.04632910877830899, 0.06037993793108485, -0.02875474674031514, 0.03597441231363997, -0.004940024463880735, 0.07815317618866256, -0.055466390759120944, 0.03927096459190923, -0.02930454092839942, -0.013405797506110784, -0.039210158964401796, 0.044444918523847986, 0.002385214799104571, -0.03401806233240309, 0.03724078292522535, 0.03693354109441445, -0.007802374532297407, 0.03871107904469505, -0.008780555467286667, 0.01879889120774707, 0.03941261791051245, 0.03566337835978016, 0.004218941702501484, -0.024323238871102885, -0.01782840065330261, 0.12341111796764515, -0.06168973795876154, 0.05189076400609235, 0.022800729180710973, 0.04183741809307813, 0.06648181650625387, -0.009067022416823348, 0.004240866906984811, 0.016385570736622942, -0.05624591093875879, 0.06859564257674561]"
NCT00003640,terminated,"
    low accrual
  ",0,phase 2,['bladder cancer'],"[""['D30.3', 'C67.5', 'C67.9', 'C79.11', 'C67.0', 'C67.1', 'D41.4']""]","['cisplatin', 'doxorubicin hydrochloride', 'methotrexate', 'vinblastine sulfate']","['[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC', 'COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O', 'CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O', 'CC[C@]1(O)C[C@@H]2CN(C1)CCC1=C(NC3=CC=CC=C13)[C@@](C2)(C(=O)OC)C1=C(OC)C=C2N(C=O)[C@@H]3[C@]4(CCN5CC=C[C@](CC)([C@@H]45)[C@@H](OC(C)=O)[C@]3(O)C(=O)OC)C2=C1']","[0.263874937994856, -0.12884590611337793, -0.29404888611464725, -0.07482801402266177, 0.2046471998728586, 0.0017396333929343964, 0.06870014318259832, -0.13472554095522402, -0.05614881461682823, -0.0009824925700623378, -0.04971882693921834, 0.06882007102036443, -0.04357424182311832, -0.05514154875646243, 0.07322322349158959, 0.016116359879456744, -0.020022543767246236, 0.023325693592266408, -0.014219369735348908, 0.10336312723850458, -0.03026877835579588, 0.047074426923831826, -0.040088307148720026, 0.00230111239288337, -0.01996103036901197, 0.035639539209229035, 0.015725439130878892, -0.032133640728999664, 0.025045435700491014, 0.06523816873798316, -0.002341696682914826, 0.06264927494872963, -0.013258749557823279, 0.057628929322935285, 0.054681552345075844, 0.024461281553352466, 0.005194675316675365, -0.048366858259706456, -0.007731921297042839, 0.15747521589928662, -0.0975616066107569, 0.028383118142628515, -0.0019490046113176604, 0.06094413864047501, 0.04978266389897873, -0.01118644963476042, 0.0394298120099542, 0.02031041082530633, -0.0508164392756442, 0.08626721930479612]"
NCT00003652,completed,,0,phase 3,['anal cancer'],"[""['C21.1', 'C44.500', 'C44.590', 'D12.9', 'C21.8']""]","['cisplatin', 'fluorouracil']","['[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC', '[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1']","[0.24245760035871103, -0.13083464533273415, -0.27738456873577505, -0.0726883169711386, 0.18783744308522116, 0.0050031897920019735, 0.04947776643847266, -0.1258588319545683, -0.046075838902246605, 0.018374801913470015, -0.04782612261877935, 0.07253584848942132, -0.038074591197679045, -0.029901538938615208, 0.05970198063100145, 0.026905083872365086, -0.02086797939625607, 0.024052593688788173, -0.03418344006465476, 0.08780709093722856, -0.007219587235202429, 0.04200237018208571, -0.04901408237372627, 0.01921306226692172, -0.03155701187126169, 0.06119442437666067, 0.04235046712980056, -0.0068459180562637015, 0.0036893848032631777, 0.06999202224517335, -0.004867483753886616, 0.0678079880525882, -0.007936305572289254, 0.02526299411247887, 0.04400706852114866, 0.03818294560368001, 0.0067565110080375496, -0.06753191462057573, -0.01780703216669597, 0.14256607991025105, -0.07447779181015009, 0.015462696092731135, 0.016835472388707563, 0.041078568839535104, 0.0543874863083191, -0.005796808079814223, 0.020482920856586585, -0.00386525530778275, -0.037215747677265834, 0.05553676906158722]"
