,studyid,trialOutcome,trialOutcome_label
2,NCT00000172,"Completed, Positive outcome/primary endpoint(s) met",1
4,NCT00000174,"Completed, Negative outcome/primary endpoint(s) not met",0
8,NCT00000390,"Completed, Positive outcome/primary endpoint(s) met",1
33,NCT00001703,"Terminated, Poor enrollment",0
35,NCT00001781,"Terminated, Safety/adverse effects",0
36,NCT00001789,"Terminated, Safety/adverse effects",0
37,NCT00001830,"Completed, Positive outcome/primary endpoint(s) met",1
38,NCT00001934,"Completed, Positive outcome/primary endpoint(s) met",1
42,NCT00002525,"Terminated, Poor enrollment",0
43,NCT00002545,"Terminated, Lack of efficacy",0
44,NCT00002549,"Completed, Positive outcome/primary endpoint(s) met",1
67,NCT00002790,"Terminated, Lack of efficacy",0
71,NCT00002869,"Terminated, Poor enrollment",0
72,NCT00002874,"Completed, Positive outcome/primary endpoint(s) met",1
89,NCT00003009,"Terminated, Poor enrollment",0
111,NCT00003205,"Terminated, Lack of efficacy",0
119,NCT00003251,"Terminated, Safety/adverse effects",0
125,NCT00003293,"Terminated, Lack of efficacy",0
133,NCT00003432,"Terminated, Poor enrollment",0
136,NCT00003444,"Terminated, Poor enrollment",0
137,NCT00003452,"Terminated, Poor enrollment",0
140,NCT00003457,"Completed, Positive outcome/primary endpoint(s) met",1
142,NCT00003485,"Terminated, Poor enrollment",0
145,NCT00003489,"Terminated, Poor enrollment",0
146,NCT00003491,"Terminated, Poor enrollment",0
147,NCT00003492,"Terminated, Poor enrollment",0
148,NCT00003494,"Terminated, Poor enrollment",0
149,NCT00003495,"Terminated, Poor enrollment",0
150,NCT00003496,"Terminated, Poor enrollment",0
151,NCT00003497,"Terminated, Poor enrollment",0
152,NCT00003498,"Terminated, Poor enrollment",0
154,NCT00003500,"Terminated, Poor enrollment",0
155,NCT00003501,"Terminated, Poor enrollment",0
158,NCT00003508,"Terminated, Poor enrollment",0
159,NCT00003509,"Terminated, Poor enrollment",0
160,NCT00003511,"Terminated, Poor enrollment",0
161,NCT00003512,"Terminated, Poor enrollment",0
162,NCT00003515,"Terminated, Poor enrollment",0
163,NCT00003516,"Terminated, Poor enrollment",0
166,NCT00003520,"Terminated, Poor enrollment",0
167,NCT00003521,"Terminated, Poor enrollment",0
