NCT ID,ICD-10 Codes
NCT00000125,"['B73.02', 'H40.059']"
NCT00000134,"['A02.0', 'P35.1']"
NCT00000135,"['A02.0', 'P35.1']"
NCT00000136,"['A02.0', 'P35.1']"
NCT00000142,"['A02.0', 'P35.1']"
NCT00000143,"['A02.0', 'P35.1']"
NCT00000371,"['A18.15', 'A18.17', 'A52.12', 'B08.21', 'C91.50', 'D50.0', 'F20.5', 'P96.2', 'R68.13', 'T43.211', 'Z79.810']"
NCT00000392,"['A02.0', 'A69.22', 'C75.0']"
NCT00000479,"['A07.0', 'A50.54', 'A52.00', 'F01.50', 'I21.01']"
NCT00000575,"['A07.0', 'J45.20']"
NCT00001151,"['E64.3', 'E83.51']"
NCT00001213,"['E50.2', 'E72.04']"
NCT00001259,"['A69.22', 'F32.81', 'F55.3', 'G43.821', 'N91.0', 'P91.4']"
NCT00001262,"['A39.1', 'E61.0']"
NCT00001277,"['A18.82', 'C75.0', 'E08.641', 'E21.0', 'E83.52']"
NCT00001304,"['A52.77', 'C75.0', 'D51.0', 'D55.1', 'E20.9']"
NCT00001305,['Q78.0']
NCT00001322,"['D37.01', 'D84.0', 'E22.2', 'Z76.2']"
NCT00001566,"['B08.010', 'C46.0', 'Z29.11']"
NCT00001575,['C81.00']
NCT00001586,"['A87.2', 'C79.51']"
NCT00001832,"['C00.0', 'C43.0', 'C43.52', 'Y07.13', 'Z00.6', 'Z29.11']"
NCT00001849,"['A18.82', 'A39.1', 'E24.3', 'E24.9', 'T59.5']"
NCT00001880,"['A18.2', 'C00.0', 'C79.51', 'D70.1', 'D89.813']"
NCT00001941,"['A02.29', 'C90.10', 'D47.2', 'T50.7']"
NCT00001959,"['D56.1', 'D61.89', 'E84.0', 'H30.001', 'M99.00', 'N04.9', 'R80.9']"
NCT00001962,"['C96.4', 'D46.0', 'D47.2', 'D60.0', 'D61.01', 'T45.1']"
NCT00001984,"['A18.17', 'R73.02', 'T86.01']"
NCT00002558,"['A04.71', 'E28.0', 'E29.0']"
NCT00002601,"['A04.71', 'A18.2', 'C46.0', 'C91.50', 'E71.520']"
NCT00002766,"['C81.00', 'C83.50', 'C90.10']"
NCT00002842,"['A04.71', 'A06.4', 'D70.1', 'K50.011']"
NCT00002850,"['A02.29', 'A19.1', 'C90.02']"
NCT00002931,"['A04.71', 'A71.0', 'A81.81', 'C91.50', 'E28.0', 'E29.0']"
NCT00003042,"['A18.17', 'C43.52']"
NCT00003102,"['A04.71', 'A18.11', 'D70.1']"
NCT00003138,"['D46.0', 'D46.1']"
NCT00003199,"['A18.17', 'C43.52', 'E28.0', 'T50.7']"
NCT00003222,"['A04.71', 'C43.0']"
NCT00003224,"['A04.71', 'C43.0']"
NCT00003270,"['A04.71', 'A17.1', 'A18.17', 'A19.1', 'A51.31', 'A68.0', 'A87.2', 'C81.00', 'C81.49', 'C82.00', 'C83.50', 'C83.79', 'C90.00', 'C90.10', 'C94.6', 'D46.0', 'D46.1', 'E71.520', 'H16.041']"
NCT00003377,"['C22.0', 'G54.2']"
NCT00003453,['E27.0']
NCT00003456,"['C91.50', 'L51.0']"
NCT00003458,"['A06.6', 'C84.60', 'E71.520', 'L51.0', 'S06.380']"
