nct_id,classification,status
NCT03181503,1,from_previous_run
NCT00954356,1,from_previous_run
NCT00922883,1,from_previous_run
NCT02933060,1,from_previous_run
NCT02999477,0,from_previous_run
NCT00829504,0,from_previous_run
NCT02129478,1,from_previous_run
NCT03429075,0,from_previous_run
NCT02697617,0,from_previous_run
NCT04745832,1,from_previous_run
NCT01417286,1,from_previous_run
NCT00830375,1,from_previous_run
NCT00159822,1,from_previous_run
NCT03836001,0,from_previous_run
NCT03189563,0,from_previous_run
NCT00910858,1,from_previous_run
NCT01184859,0,from_previous_run
NCT00791700,1,from_previous_run
NCT00884286,1,from_previous_run
NCT03345095,1,from_previous_run
NCT05641311,1,from_previous_run
NCT00818259,0,from_previous_run
NCT02057406,0,from_previous_run
NCT03857841,0,from_previous_run
NCT01106898,1,from_previous_run
NCT00893113,1,from_previous_run
NCT02805660,0,from_previous_run
NCT04143945,1,from_previous_run
NCT03301298,1,from_previous_run
NCT03299166,0,from_previous_run
NCT05142306,1,from_previous_run
NCT05305040,0,from_previous_run
NCT04523480,1,from_previous_run
NCT03547908,0,from_previous_run
NCT02128269,0,from_previous_run
NCT03118674,1,from_previous_run
NCT03673501,0,from_previous_run
NCT02033317,0,from_previous_run
NCT01097044,1,from_previous_run
NCT01967537,1,from_previous_run
NCT03294304,1,from_previous_run
NCT02034578,1,from_previous_run
NCT04927312,1,from_previous_run
NCT03568318,1,from_previous_run
NCT00968669,0,from_previous_run
NCT03736785,0,from_previous_run
NCT00976677,1,from_previous_run
NCT02423980,1,from_previous_run
NCT00931606,0,from_previous_run
NCT04448756,1,from_previous_run
NCT01021020,1,from_previous_run
NCT02155309,-1,from_previous_run
NCT01189292,1,from_previous_run
NCT01526343,1,from_previous_run
NCT01363713,1,from_previous_run
NCT03890120,0,from_previous_run
NCT03242824,1,from_previous_run
NCT00423267,1,from_previous_run
NCT02805725,1,from_previous_run
NCT00003816,1,from_previous_run
NCT03985943,1,from_previous_run
NCT00689117,0,from_previous_run
NCT02493426,1,from_previous_run
NCT05261126,1,from_previous_run
NCT01159535,1,from_previous_run
NCT01934010,0,from_previous_run
NCT00351299,1,from_previous_run
NCT02344290,1,from_previous_run
NCT00980148,1,from_previous_run
NCT02722278,1,from_previous_run
NCT00450749,1,from_previous_run
NCT01401647,1,from_previous_run
NCT02211014,1,from_previous_run
NCT03078751,1,from_previous_run
NCT03739866,0,from_previous_run
NCT01380691,1,from_previous_run
NCT03751657,0,from_previous_run
NCT01344460,0,from_previous_run
NCT03786770,1,from_previous_run
NCT03116685,1,from_previous_run
NCT03700658,1,from_previous_run
NCT03756038,1,from_previous_run
NCT04929249,0,from_previous_run
NCT04165031,1,from_previous_run
NCT02215954,1,from_previous_run
NCT00546455,1,from_previous_run
NCT01515566,1,from_previous_run
NCT02512900,1,from_previous_run
NCT02069041,1,from_previous_run
NCT03200704,1,from_previous_run
NCT04706416,0,from_previous_run
NCT00859313,1,from_previous_run
NCT03113487,1,from_previous_run
NCT01334918,1,from_previous_run
NCT00954993,0,from_previous_run
NCT02432807,0,from_previous_run
NCT03054844,1,from_previous_run
NCT04604899,1,from_previous_run
NCT00659126,-1,from_previous_run
NCT00624416,1,from_previous_run
NCT03122509,1,from_previous_run
NCT03050554,-1,from_previous_run
NCT03480022,1,from_previous_run
NCT01791894,1,from_previous_run
NCT01769209,1,from_previous_run
NCT01714739,1,from_previous_run
NCT02856594,1,from_previous_run
NCT02416908,1,from_previous_run
NCT03821402,0,from_previous_run
NCT04466891,1,from_previous_run
NCT00856635,1,from_previous_run
NCT00552695,1,from_previous_run
NCT01622569,1,from_previous_run
NCT05328102,-1,from_previous_run
NCT03753113,1,from_previous_run
NCT00782340,1,from_previous_run
NCT01573533,0,from_previous_run
NCT04310085,1,from_previous_run
NCT04436276,-1,from_previous_run
NCT02013037,1,from_previous_run
NCT05568615,1,from_previous_run
NCT03145064,1,from_previous_run
NCT05027308,1,from_previous_run
NCT01346774,1,from_previous_run
NCT04471207,1,from_previous_run
NCT02016235,1,from_previous_run
NCT00165672,1,from_previous_run
NCT03719300,0,from_previous_run
NCT03471871,0,from_previous_run
NCT03980184,0,from_previous_run
NCT03116113,1,from_previous_run
NCT02910583,0,from_previous_run
NCT01543490,1,from_previous_run
NCT02350816,1,from_previous_run
NCT03901339,1,from_previous_run
NCT00638989,1,from_previous_run
NCT03933618,1,from_previous_run
NCT00061945,1,from_previous_run
NCT03686384,1,from_previous_run
NCT03505151,1,from_previous_run
NCT02552888,1,from_previous_run
NCT02500602,1,from_previous_run
NCT04137887,0,from_previous_run
NCT01865812,1,from_previous_run
NCT00004146,0,from_previous_run
NCT00871403,0,from_previous_run
NCT01150981,1,from_previous_run
NCT00982319,0,from_previous_run
NCT00849485,0,from_previous_run
NCT02239354,1,from_previous_run
NCT00575159,-1,from_previous_run
NCT00887783,1,from_previous_run
NCT02814708,1,from_previous_run
NCT00836472,0,from_previous_run
NCT00901199,1,from_previous_run
NCT02731638,0,from_previous_run
NCT02633137,1,from_previous_run
NCT03568461,1,from_previous_run
NCT03802227,1,from_previous_run
NCT03128411,1,from_previous_run
NCT03485365,0,from_previous_run
NCT03325114,1,from_previous_run
NCT03924427,1,from_previous_run
NCT01364740,0,from_previous_run
NCT03689972,1,from_previous_run
NCT04064684,0,from_previous_run
NCT01378299,1,from_previous_run
NCT05232682,0,from_previous_run
NCT01211522,1,from_previous_run
NCT04040621,0,from_previous_run
NCT00896038,1,from_previous_run
NCT00796991,1,from_previous_run
NCT01640197,1,from_previous_run
NCT02628405,1,from_previous_run
NCT04097028,1,from_previous_run
NCT04669691,-1,from_previous_run
NCT03531320,1,from_previous_run
NCT04164732,0,from_previous_run
NCT00112827,1,from_previous_run
NCT01962298,1,from_previous_run
NCT00812253,1,from_previous_run
NCT04378426,1,from_previous_run
NCT00498173,1,from_previous_run
NCT00993226,0,from_previous_run
NCT04001803,1,from_previous_run
NCT02565186,1,from_previous_run
NCT04531813,1,from_previous_run
NCT04037462,1,from_previous_run
NCT03325790,1,from_previous_run
NCT03746080,1,from_previous_run
NCT04295772,1,from_previous_run
NCT00700440,1,from_previous_run
NCT00949533,0,from_previous_run
NCT03528551,1,from_previous_run
NCT00903370,1,from_previous_run
NCT02111850,-1,from_previous_run
NCT00789737,1,from_previous_run
NCT04603937,0,from_previous_run
NCT00610688,1,from_previous_run
NCT01996826,0,from_previous_run
NCT02123472,1,from_previous_run
NCT03960554,-1,from_previous_run
NCT00938470,1,from_previous_run
NCT01533116,1,from_previous_run
NCT04066894,1,from_previous_run
NCT03270514,1,from_previous_run
NCT02815267,0,from_previous_run
NCT04531540,1,from_previous_run
NCT00936897,1,from_previous_run
NCT01494051,1,from_previous_run
NCT03274804,1,from_previous_run
NCT03156023,1,from_previous_run
NCT03825380,0,from_previous_run
NCT00940342,1,from_previous_run
NCT00758394,1,from_previous_run
NCT00400946,0,from_previous_run
NCT00839800,1,from_previous_run
NCT00055237,1,from_previous_run
NCT02126670,0,from_previous_run
NCT03510884,1,from_previous_run
NCT02300025,1,from_previous_run
NCT03632109,0,from_previous_run
NCT01082211,1,from_previous_run
NCT01691534,1,from_previous_run
NCT03407170,1,from_previous_run
NCT01471457,1,from_previous_run
NCT03137160,0,from_previous_run
NCT00859651,1,from_previous_run
NCT00805129,1,from_previous_run
NCT03556358,1,from_previous_run
NCT00853749,0,from_previous_run
NCT00206427,1,from_previous_run
NCT00699140,1,from_previous_run
NCT00382200,1,from_previous_run
NCT01199380,1,from_previous_run
NCT04439357,1,from_previous_run
NCT00368459,0,from_previous_run
NCT05981365,0,from_previous_run
NCT01746264,0,from_previous_run
NCT00809809,1,from_previous_run
NCT00372957,1,from_previous_run
NCT03506815,1,from_previous_run
NCT03844386,1,from_previous_run
NCT01891994,1,from_previous_run
NCT05020249,1,from_previous_run
NCT03952130,0,from_previous_run
NCT00794040,1,from_previous_run
NCT00662558,1,from_previous_run
NCT03911102,1,from_previous_run
NCT02908672,1,from_previous_run
NCT05810740,0,from_previous_run
NCT03257722,1,from_previous_run
NCT04517864,-1,from_previous_run
NCT03141359,0,from_previous_run
NCT01128972,0,from_previous_run
NCT01500733,1,from_previous_run
NCT00945906,1,from_previous_run
